,franchise,name,city,address,phone
0,BurgerKing,6,Москва,"пл Киевского вокзала 2, ТЦ Европейский 4 этаж",No data
1,BurgerKing,7,Москва,"ш Ленинградское 16А стр 4, ТЦ Метрополис 3 этаж",No data
2,BurgerKing,8,Москва,"просп Мира 211, ТЦ Европолис Ростокино 2 этаж",No data
3,BurgerKing,9,Москва,ТЦ Мега Теплый Стан,No data
4,BurgerKing,10,Москва,"ул Шереметьевская 20, ТЦ Капитолий Марьина Роща 3 этаж",No data
5,BurgerKing,11,Москва,"просп Вернадского 6, ТЦ Капитолий Вернадского 3 этаж",No data
6,BurgerKing,19,Москва,"ул Земляной Вал 33, ТЦ Атриум 4 этаж",No data
7,BurgerKing,20,Москва,"наб Пресненская 2, ТЦ Афимол Сити 4 этаж",No data
8,BurgerKing,21,Москва,ул Красная Пресня 4,No data
9,BurgerKing,22,Москва,"ул Маршала Бирюзова 32, ТЦ 5 Авеню 3 этаж",No data
10,BurgerKing,27,Москва,ул Барклая 10,No data
11,BurgerKing,31,Москва,"ул Профсоюзная 61, ТЦ Калужский 2 этаж",No data
12,BurgerKing,32,Москва,"ул Фестивальная 2Б, ТЦ Речной 3 этаж",No data
13,BurgerKing,35,Москва,"ул Люблинская 153, ТЦ Л-153 2 этаж",No data
14,BurgerKing,36,Москва,"пл Манежная 1 стр 2, ТЦ Охотный ряд -3 этаж",No data
15,BurgerKing,40,Москва,ТЦ Мега Белая Дача,No data
16,BurgerKing,43,Москва,ш Ярославское 69,No data
17,BurgerKing,46,Москва,"пр Дежнева 21, ТЦ Эгомолл 2 этаж",No data
18,BurgerKing,47,Москва,"ул Сущевский Вал 31 стр 1, ТЦ Оливье 1 этаж",No data
19,BurgerKing,48,Москва,ул Ленинская Слобода 17/2 стр 1,No data
20,BurgerKing,49,Москва,"просп Новоясеневский 11, ТЦ FORT Ясенево 2 этаж",No data
21,BurgerKing,51,Москва,"ул Бол Черёмушкинская 1, ТЦ РИО 3 этаж",No data
22,BurgerKing,52,Москва,"ул Дубравная 34/29, ТЦ Ладья 2 этаж",No data
23,BurgerKing,54,Москва,ул Садово-Кудринская 3А,No data
24,BurgerKing,57,Москва,"пересечение МКАД / ш Каширское, ТЦ Вегас 2 этаж",No data
25,BurgerKing,60,Москва,"просп Новоясеневский 1, ТЦ Спектр 2 этаж",No data
26,BurgerKing,61,Москва,"МКАД 28 км стр 2В, АЗС Лукойл",No data
27,BurgerKing,63,Москва,"ул Цветной Бульвар 13, Цирк Никулина",No data
28,BurgerKing,64,Москва,"пр Багратионовский 5, ТЦ Филион 3 этаж",No data
29,BurgerKing,65,Москва,"Зеленоград просп Панфиловский 6А, ТЦ Панфиловский 2 этаж",No data
30,BurgerKing,66,Москва,"ул Планерная 7, ТПУ Планерная",No data
31,BurgerKing,68,Москва,"ул Верхняя Красносельская 3А, ТЦ Тройка 3 этаж",No data
32,BurgerKing,72,Москва,"Аэропорт Внуково, Внутренние линии gate 8-17, «чистая» зона 3 этаж",No data
33,BurgerKing,75,Москва,"ул Перерва 43/1, ТЦ Бум 2 этаж",No data
34,BurgerKing,76,Москва,"ул Профсоюзная 129А, ТЦ Принц Плаза 4 этаж",No data
35,BurgerKing,80,Москва,"ул Вавилова 3, ТЦ Гагаринский 3 этаж",No data
36,BurgerKing,83,Москва,"ул Сходненская 56, ТЦ Калейдоскоп 4 этаж",No data
37,BurgerKing,85,Москва,"ул Кустанайская 6, ТЦ Столица",No data
38,BurgerKing,86,Москва,"ул Правобережная 1Б, ТЦ Капитолий Ленинградский 2 этаж",No data
39,BurgerKing,89,Москва,"бул Ореховый 14 корп 3, ТЦ Домодедовский 3 этаж",No data
40,BurgerKing,91,Москва,"ул Профсоюзная 126 корп 2, ТЦ Коньково-Пассаж",No data
41,BurgerKing,97,Москва,ул Большая Полянка 28 корп 1,No data
42,BurgerKing,98,Москва,"ш Дмитровское 163А копр 1, ТЦ РИО 2 этаж",No data
43,BurgerKing,110,Москва,ул Измайловский Вал 2,No data
44,BurgerKing,113,Москва,"Аэропорт Домодедово, «грязная» зона 2 этаж",No data
45,BurgerKing,114,Москва,"Аэропорт Внуково, Международные линии gate 18-31, «чистая» зона 3 этаж",No data
46,BurgerKing,118,Москва,"ул Шереметьевская 6, ТЦ Райкин Плаза 4 этаж",No data
47,BurgerKing,119,Москва,"ш Каширское 14, ТЦ Гудзон 3 этаж",No data
48,BurgerKing,125,Москва,"ш Варшавское 158, ТЦ Атлантис 1 этаж",No data
49,BurgerKing,126,Москва,ул Люблинская 92 корп 2,No data
50,BurgerKing,132,Москва,ул Большая Тульская 2,No data
51,BurgerKing,143,Москва,ул Первомайская 42,No data
52,BurgerKing,157,Москва,"просп Балаклавский 5А, ТЦ Штаер",No data
53,BurgerKing,159,Москва,"ш Щелковское д 100, ТЦ Щелково 3 этаж",No data
54,BurgerKing,160,Москва,"МКАД 56 км, ТЦ Вегас Кунцево 2 этаж",No data
55,BurgerKing,161,Москва,"ш Варшавское 95 корп 1, ТЦ Аэробус 1 этаж",No data
56,BurgerKing,165,Москва,"просп Рязанский 2, ТЦ Город 2 этаж",No data
57,BurgerKing,172,Москва,ул Малая Филевская 13,No data
58,BurgerKing,183,Москва,"просп Вернадского 14А, ТЦ Обувь-Сити 1 этаж",No data
59,BurgerKing,197,Москва,"просп Зеленый 62Д, ТЦ Шангал",No data
60,BurgerKing,213,Москва,"МКАД 60 км вл 4, БЦ Колизей",No data
61,BurgerKing,214,Москва,"ул 7-я Кожуховская 9, ТЦ Мозаика 3 этаж",No data
62,BurgerKing,215,Москва,"ш Варшавское 140, ТЦ Коламбус 3 этаж",No data
63,BurgerKing,231,Москва,"ул Краснодарская 51 корп 2, ТЦ Люблинский Пассаж",No data
64,BurgerKing,239,Москва,"пр Локомотивный 4, ТЦ Парус 3 этаж",No data
65,BurgerKing,244,Москва,"ул Енисейская 19 корп 1, ТЦ Радужный 3 этаж",No data
66,BurgerKing,250,Москва,"ул Бауманская 32 стр 2, ТЦ Елоховский Пассаж",No data
67,BurgerKing,252,Москва,"ул Ярцевская 19, ТЦ Кунцево Плаза 4 этаж",No data
68,BurgerKing,261,Москва,"ш Измайловское 69Д, ТЦ Альбатрос",No data
69,BurgerKing,269,Москва,пл Сокольническая 9А,No data
70,BurgerKing,275,Москва,"ш Дмитровское 89, ТЦ XL 2 этаж",No data
71,BurgerKing,285,Москва,ул Воздвиженка 9 стр 2,No data
72,BurgerKing,286,Москва,ш Боровское 51 стр 1,No data
73,BurgerKing,291,Москва,"просп Мичуринский Олимпийская деревня 3 корп 1, ТЦ Фестиваль 3 этаж",No data
74,BurgerKing,297,Москва,"ул Профсоюзная 56, ТЦ Черемушки 4 этаж",No data
75,BurgerKing,300,Москва,"ул Поречная 10, ТЦ Мари 4 этаж",No data
76,BurgerKing,307,Москва,"пр Театральный 5, ТЦ Центральный Детский Мир 6 этаж",No data
77,BurgerKing,313,Москва,ул 9-я Парковая 68,No data
78,BurgerKing,317,Москва,"ул Профсоюзная 102 стр 1, ТЦ Ареал",No data
79,BurgerKing,320,Москва,"ш Ленинградское 18 км, ТЦ Зеленопарк 1 этаж",No data
80,BurgerKing,321,Москва,"ул Автозаводская 18, ТЦ Ривьера 4 этаж",No data
81,BurgerKing,323,Москва,ул Земляной Вал 26 стр 1,No data
82,BurgerKing,325,Москва,бул Зубовский 17 стр 1,No data
83,BurgerKing,326,Москва,"ул Щукинская 42, ТЦ Щука 4 этаж",No data
84,BurgerKing,327,Москва,"просп Вернадского 86Б стр 1, ТЦ Альмирал 2 этаж",No data
85,BurgerKing,333,Москва,ул Лухмановская 2,No data
86,BurgerKing,335,Москва,"просп Мира 92, ТЦ Крестовский",No data
87,BurgerKing,338,Москва,ул Митинская 53,No data
88,BurgerKing,339,Москва,"пр Сигнальный 17, ТЦ Ашан 1 этаж",No data
89,BurgerKing,340,Москва,"ш Бесединское 15, ТЦ Ашан 1 этаж",No data
90,BurgerKing,341,Москва,"ул Поляны 8, ТЦ Вива 2 этаж",No data
91,BurgerKing,342,Москва,"ул Бартеневская 12, ТЦ Карусель",No data
92,BurgerKing,346,Москва,"ул Широкая 13А, ТЦ Медведковский",No data
93,BurgerKing,347,Москва,"бул Строгинский 1, ТЦ Дарья",No data
94,BurgerKing,348,Москва,"ул Люблинская 169 корп 2, ТЦ Мариэль 3 этаж",No data
95,BurgerKing,349,Москва,"ш Головинское 5, ТЦ Водный 3 этаж",No data
