,franchise,name,city,address,phone
0,KFC,KFC Европейский Фудкорт 4 этаж,Москва,"Москва, 121059, Москва, площадь Киевского Вокзала, 2, ТЦ ""Европейский"", 4 этаж",Тел.: +74994033873 
1,KFC,KFC Коньково Москва,Москва,"Москва, 117437, Москва, Профсоюзная, 118",Тел.: +79636304094 
2,KFC,KFC Азовский Москва,Москва,"Москва, 117452, Москва, Азовская, 24к3",Тел.: +79636306327 
3,KFC,KFC Багратион мост Москва,Москва,"Москва, 123317, Москва, Пресненская набережная, 4с1",Тел.: +79636305658 
4,KFC,KFC Щукинская Москва,Москва,"Москва, 123182, Москва, Щукинская, 42","Тел.: +74952408424 доб.: 6150, 9150"
5,KFC,KFC Хабарова Москва,Москва,"Москва, 142784, Московский, Хабарова, 2","Тел.: +74952408424 доб.: 6184, 9184"
6,KFC,KFC Калейдоскоп Москва,Москва,"Москва, 125363, Москва, Сходненская, 56",Тел.: +74951980928 
7,KFC,KFC Ашан Пролетарский Москва,Москва,"Москва, 115516, Москва, Пролетарский проспект, вл30","Тел.: +74952408424 доб.: 6180, 9180"
8,KFC,KFC Подсолнухи Москва,Москва,"Москва, 107370, Москва, Открытое шоссе, 9",Тел.: +79299207024 
9,KFC,KFC Бунинская Москва,Москва,"Москва, 117042, Москва, Бунинская аллея, 7","Тел.: +74952408424 доб.: 6160, 9160"
10,KFC,KFC Ростокино Фудкорт 2 этаж,Москва,"Москва, 129226, Москва, Проспект Мира, 211к2",Тел.: +74959666430 
11,KFC,KFC Киевский Москва,Москва,"Москва, 121059, Москва, площадь Киевского Вокзала, 2",Тел.: +79636300794 
12,KFC,KFC Москворечье Москва,Москва,"Москва, 125167, Москва, Каширское шоссе, 26",Тел.: +74950232556 
13,KFC,KFC Рамстор Сити Москва,Москва,"Москва, 125445, Москва, Правобережная, 1",Тел.: +79250034552 
14,KFC,KFC Марьино Москва,Москва,"Москва, 109369, Москва, Люблинская, 102А","Тел.: +74952408424 доб.: 6042, 9042"
15,KFC,KFC Атлантис Москва,Москва,"Москва, 117405, Москва, Варшавское шоссе, 160",Тел.: +79636308825 
16,KFC,KFC Панорама Москва,Москва,"Москва, 117335, Москва, Гарибальди, 23",Тел.: +74957794201 
17,KFC,KFC Сокольники Москва,Москва,"Москва, 107014, Москва, Сокольническая площадь, 9А",Тел.: +74959116962 
18,KFC,KFC Партизанская Москва,Москва,"Москва, 105187, Москва, Измайловское шоссе, 71А","Тел.: +74952120000 доб.: 5026, 5025"
19,KFC,KFC Колумбус Москва,Москва,"Москва, 117519, Москва, Кировоградская, 13А",Тел.: +74999638152 
20,KFC,KFC Саларьево Москва,Москва,"Москва, 119297, Москва, Киевское шоссе, 23 км., д. 1","Тел.: +74952408424 доб.: 6966, 9966"
21,KFC,KFC Семеновская Москва,Москва,"Москва, 105318, Москва, Семёновская площадь, 1","Тел.: +74957836990 доб.: 5034, 5033"
22,KFC,KFC Цветной Москва,Москва,"Москва, 127051, Москва, Цветной бульвар, 11с2",Тел.: +74957255646 доб.: 1135
23,KFC,KFC Никольская Москва,Москва,"Москва, 109012, Москва, Никольская, 17с1",Тел.: +79636305081 
24,KFC,KFC Пролетарская Москва,Москва,"Москва, 109044, Москва, 3-й Крутицкий переулок, 18",Тел.: +79250050572 
25,KFC,KFC Карамель Москва,Москва,"Москва, 111394, Москва, Перовская, 61А",Тел.: +74950211210 
26,KFC,KFC Авиапарк Москва,Москва,"Москва, 125252, Москва, Ходынский бульвар, 4","Тел.: +74952120000 доб.: 5086, 5085"
27,KFC,KFC Авиамоторная 2 Москва,Москва,"Москва, 111024, Москва, шоссе Энтузиастов, 20",Тел.: +74951160305 
28,KFC,KFC Сомбреро Москва,Москва,"Москва, 117405, Москва, Варшавское шоссе, 152А",Тел.: +79852261531 
29,KFC,KFC Охотный ряд  -1 этаж,Москва,"Москва, 125009, Москва, Манежная площадь, 1с2",Тел.: +74993808601 
30,KFC,KFC Новоясеневский Москва,Москва,"Москва, 117588, Москва, Новоясеневский проспект, 1к1",Тел.: +79160792437 
31,KFC,KFC Байкал Москва,Москва,"Москва, 125008, Москва, Михалковская, 4",Тел.: +74951980986 
32,KFC,KFC Текстильщики Москва,Москва,"Москва, 109125, Москва, Люблинская, 4к1",Тел.: +74993466489 
33,KFC,KFC Водный Москва,Москва,"Москва, 125212, Москва, Головинское шоссе, 5",Тел.: +79160793857 
34,KFC,KFC Тройка Москва,Москва,"Москва, 107140, Москва, Верхняя Красносельская, 3А","Тел.: +74952120000 доб.: 5114, 5113"
35,KFC,KFC Атриум Москва,Москва,"Москва, 105064, Москва, Земляной Вал, 33",Тел.: +74993228238 
36,KFC,KFC ВДНХ Москва,Москва,"Москва, 129515, Москва, 1-я Останкинская, 55","Тел.: +74952120000 доб.: 5052, 5051"
37,KFC,KFC Шелл Каскад Москва,Москва,"Москва, 111625, Москва, Каскадная, 21",Тел.: +79250753690 
38,KFC,KFC Алексеевская Москва,Москва,"Москва, 129626, Москва, проспект Мира, 112",Тел.: +79269996897 
39,KFC,KFC Выхино Москва,Москва,"Москва, 109542, Москва, Рязанский проспект, вл99Ас1",Тел.: +74993808642 доб.: 412
40,KFC,KFC Измайловское шоссе Москва,Москва,"Москва, 105187, Москва, Измайловское шоссе, 69Г",Тел.: +74999638232 
41,KFC,KFC Матвеевское Москва,Москва,"Москва, 119501, Москва, Матвеевская, 2",Тел.: +79636308840 
42,KFC,KFC Мега Теплый Стан Москва,Москва,"Москва, 142704, Москва, Калужское шоссе, 21-й километр",Тел.: +79250051058 
43,KFC,KFC Ельнинская Москва,Москва,"Москва, 121552, Москва, Ельнинская, 23",Тел.: +79636305889 
44,KFC,KFC Манежная  -3 этаж,Москва,"Москва, 125009, Москва, Манежная площадь, 1с2",Тел.: +74991132604 
45,KFC,KFC Дмитрия Донского Москва,Москва,"Москва, 117628, Москва, бульвар Дмитрия Донского, 2к1",Тел.: +79636305415 
46,KFC,KFC Фирсановское шоссе Зеленоград,Москва,"Москва, 124489, Зеленоград, Проезд 4807, 6",Тел.: +74951980929 
47,KFC,KFC Горбушка Москва,Москва,"Москва, 121309, Москва, Багратионовский проспект, 7 к2",Тел.: +79636305451 
48,KFC,KFC Домодедовский Москва,Москва,"Москва, 115582, Москва, Ореховый бульвар, 14к3",Тел.: +74951980945 
49,KFC,KFC Реал Москва,Москва,"Москва, 127273, Москва, Сигнальный проезд, 17",Тел.: +79250038615 
50,KFC,KFC Славянский Москва,Москва,"Москва, 121170, Москва, Кутузовский проспект, 57","Тел.: +74952120000 доб.: 5110, 5109"
51,KFC,KFC Филион Москва,Москва,"Москва, 121087, Москва, Багратионовский проезд, 5","Тел.: +74952408424 доб.: 6048, 9048"
52,KFC,KFC Депо Молл Москва,Москва,"Москва, 127322, Москва, Яблочкова, 21с3",Тел.: +74951980973 
53,KFC,KFC Планерная Москва,Москва,"Москва, 125481, Москва, Планерная, 7",Тел.: +74957254098 
54,KFC,KFC Мари Молл Москва,Москва,"Москва, 109469, Москва, Поречная, 10","Тел.: +74952408424 доб.: 6090, 9090"
55,KFC,KFC Тимирязевская Москва,Москва,"Москва, 127434, Москва, Дмитровское шоссе, 13к1",Тел.: +74951980974 
56,KFC,KFC Люблинская Москва,Москва,"Москва, 109341, Москва, Люблинская, 153","Тел.: +74952408424 доб.: 6014, 9014"
57,KFC,KFC Ривер Молл Москва,Москва,"Москва, 115280, Москва, Автозаводская, 18","Тел.: +74952408424 доб.: 6148, 9148"
58,KFC,KFC Братеевский Москва,Москва,"Москва, 115612, Москва, Ключевая, 6к1",Тел.: +79636305512 
59,KFC,KFC Полежаевская Москва,Москва,"Москва, 123007, Москва, Хорошёвское шоссе, 27","Тел.: +74952408424 доб.: 6164, 9164"
60,KFC,KFC Новокрюковская Зеленоград Москва,Москва,"Москва, 124617, Москва, Новокрюковская, 10","Тел.: +74952408424 доб.: 6192, 9192"
61,KFC,KFC 82 МКАД Москва,Москва,"Москва, 127253, Москва, МКАД, 82-й километр, вл18",Тел.: +79031745669 
62,KFC,KFC Карачарово Москва,Москва,"Москва, 109052, Москва, Рязанский проспект, 2с2",Тел.: +74952408424 доб.: 6054
63,KFC,KFC Юго-Западная Москва,Москва,"Москва, 119602, Москва, Покрышкина, 2",Тел.: +79853699908 
64,KFC,KFC Крестовский Москва,Москва,"Москва, 129110, Москва, ул. Проспект Мира, д. 92с1","Тел.: +74952408424 доб.: 6556, 9556"
65,KFC,KFC Новослободская Москва,Москва,"Москва, 127055, Москва, Новослободская, 11с1","Тел.: +74952408424 доб.: 6540, 9540"
66,KFC,KFC Покрышкина Москва,Москва,"Москва, 109456, Москва, Покрышкина, 4","Тел.: +74952408424 доб.: 6564, 9564"
67,KFC,KFC Фестиваль Москва,Москва,"Москва, 119602, Москва, Мичуринский Проспект, 3","Тел.: +74952408424 доб.: 6573, 9573"
68,KFC,KFC Фрунзенская Москва,Москва,"Москва, 119034, Москва, Комсомольский проспект, 24с1",Тел.: +74950211292 
69,KFC,KFC Остров Мечты Москва,Москва,"Москва, 115533, Москва, проспект Андропова, дом, 1",Тел.: +74950236394 
70,KFC,KFC Иридиум Москва,Москва,"Москва, 124575, Москва, Крюковская площадь, 1",Тел.: +79269002705 
71,KFC,KFC Ярославский 2 Москва,Москва,"Москва, 107140, Москва, Комсомольская площадь, 5",Тел.: +79636306848 
72,KFC,KFC Водолей Москва,Москва,"Москва, 115563, Москва, Ореховый бульвар, 15с1",Тел.: +74951980996 
73,KFC,KFC Мозаика Москва,Москва,"Москва, 115193, Москва, 7-я Кожуховская, 9","Тел.: +74952408424 доб.: 6084, 9084"
74,KFC,KFC Стратонавтов 9 Москва,Москва,"Москва, 125424, Москва, проезд Стратонавтов д.9, корп. 2",Тел.: +79636302742 
75,KFC,KFC ТЦ Парковый Москва,Москва,"Москва, 150007, Москва, 3-я Парковая улица, вл. 57",Тел.: +79250021516 
76,KFC,KFC Небо Солнцево Москва,Москва,"Москва, 119619, Москва, Авиаторов , д. 3А","Тел.: +74952408424 доб.: 6631, 9631"
77,KFC,KFC Пролетарский проспект Москва,Москва,"Москва, 115522, Москва, Пролетарский проспект, 2А",Тел.: +74951066955 
78,KFC,KFC Можайское Москва,Москва,"Москва, 121353, Москва, Можайское шоссе, 45А",Тел.: +74959001028 
79,KFC,KFC Гагаринский Москва,Москва,"Москва, 119334, Москва, Вавилова, 3","Тел.: +74952408424 доб.: 6545, 9545"
80,KFC,KFC Саянская Москва,Москва,"Москва, 111555, Москва, Саянская, 10а",Тел.: +79259543641 
81,KFC,KFC Кронштадтский Москва,Москва,"Москва, 125212, Москва, Кронштадтский бул., 3А",Тел.: +74993807689 
82,KFC,KFC Прайм Плаза Москва,Москва,"Москва, 117461, Москва, ул. Каховка, д. 29А",Тел.: +74950230914 
83,KFC,KFC Звёздочка Москва,Москва,"Москва, 109147, Москва, Таганская, 1с1",Тел.: +79269009813 
84,KFC,KFC Парус Москва,Москва,"Москва, 127238, Москва, Локомотивный проезд, д. 4",Тел.: +74951980951 
85,KFC,KFC Речной Москва,Москва,"Москва, 125565, Москва, Фестивальная, ул.13. к.1",Тел.: +74951980952 
86,KFC,KFC Курский 2 Москва,Москва,"Москва, 105064, Москва, Земляной Вал, 29, стр. 1",Тел.: +79636302376 
87,KFC,KFC ЦДМ Москва,Москва,"Москва, 109012, Москва, Театральный проезд, 5с1",Тел.: +74951980969 
88,KFC,KFC Волгоградский 166 Москва,Москва,"Москва, 109472, Москва, Волгоградский проспект, вл166",Тел.: +79250050492 
89,KFC,KFC Печатники Москва,Москва,"Москва, 109548, Москва, Шоссейная, 2к3",Тел.: +74993489624 
90,KFC,KFC Славич Москва,Москва,"Москва, 107258, Москва, Бульвар Маршала Рокоссовского, д 31",Тел.: +79299318612 
91,KFC,KFC Пресненский Вал Москва,Москва,"Москва, 123022, Москва, Пресненский Вал, 6с2",Тел.: +79636300790 
92,KFC,KFC Войковская Москва,Москва,"Москва, 125171, Москва, Ленинградское шоссе, 14с1",Тел.: +74951980949 
93,KFC,KFC Братиславская 12 Москва,Москва,"Москва, 109451, Москва, Братиславская, 12",Тел.: +79250051567 
94,KFC,KFC Савеловский Москва,Москва,"Москва, 127015, Москва, площадь Савёловского Вокзала, 2",Тел.: +79636300402 
95,KFC,KFC Пражская Москва,Москва,"Москва, 117519, Москва, Красного Маяка, 2Б",Тел.: +74999638186 
96,KFC,KFC Черемушки 2 Москва,Москва,"Москва, 117393, Москва, Профсоюзная, 56",Тел.: +79636304990 
97,KFC,KFC Шоссейная Москва,Москва,"Москва, 109548, Москва, Шоссейная ул., 34",Тел.: +74951980954 
98,KFC,KFC Ленинградский вокзал Москва,Москва,"Москва, 107140, Москва, Комсомольская площадь, 3",Тел.: +79636305117 
99,KFC,KFC Севастопольский Москва,Москва,"Москва, 117152, Москва, Севастопольский проспект, 11Е","Тел.: +74952408424 доб.: 6116, 9116"
100,KFC,KFC Бирюлевский Москва,Москва,"Москва, 115404, Москва, Бирюлевская ул., 26А",Тел.: +74951063394 
101,KFC,KFC Свиблово Москва,Москва,"Москва, 129323, Москва, ул. Снежная, д. 27","Тел.: +74952408424 доб.: 6542, 9542"
102,KFC,KFC Митино Москва,Москва,"Москва, 125430, Москва, Митинская, 40","Тел.: +74952408424 доб.: 6154, 9154"
103,KFC,KFC Дмитровская Москва,Москва,"Москва, 127015, Москва, Бутырская, 89",Тел.: +79250054471 
104,KFC,KFC Новое Бутово Москва,Москва,"Москва, 117041, Москва, Чечёрский проезд, 51","Тел.: +74952408424 доб.: 6122, 9122"
105,KFC,KFC Арфа Москва,Москва,"Москва, 125481, Москва, МКАД, 74-й километр, вл4с1","Тел.: +74952408424 доб.: 6970, 9970"
106,KFC,KFC БУМ Москва,Москва,"Москва, 109341, Москва, Перерва, 43к1","Тел.: +74952120000 доб.: 5138, 5137"
107,KFC,KFC Пятницкое шоссе Москва,Москва,"Москва, 125430, Москва, Пятницкое шоссе, 39",Тел.: +74994266420 
108,KFC,KFC Ярославский пригородные кассы,Москва,"Москва, 107140, Москва, Комсомольская площадь, 5",Тел.: +79636300446 
109,KFC,KFC Энтузиастов 63 Москва,Москва,"Москва, 105568, Москва, ш. Энтузиастов, 63Б",Тел.: +79299387747 
110,KFC,KFC Дубровка Москва,Москва,"Москва, 115088, Москва, Шарикоподшипниковская, 13с1",Тел.: +79250051596 
111,KFC,KFC Берлин Москва,Москва,"Москва, 117303, Москва, Малая Юшуньская, 1к1",Тел.: +74953198531 
112,KFC,KFC Дмитрия Ульянова Москва,Москва,"Москва, 117292, Москва, Дмитрия Ульянова, 20к1",Тел.: +79168720627 
113,KFC,KFC Мегаполис Москва,Москва,"Москва, 115432, Москва, проспект Андропова, 8",Тел.: +74951980947 
114,KFC,KFC Фестивальная Москва,Москва,"Москва, 125565, Москва, Фестивальная, 2А",Тел.: +74993228128 
115,KFC,KFC Рио Дмитровское шоссе Москва,Москва,"Москва, 127204, Москва, Дмитровское шоссе, 163А",Тел.: +74951980984 
116,KFC,KFC Радищевская Москва,Москва,"Москва, 109240, Москва, В. Радищевская, 22",Тел.: +79636308213 
117,KFC,KFC Гудзон Москва,Москва,"Москва, 115230, Москва, Каширское шоссе, 14",Тел.: +74959666471 
118,KFC,KFC Зубовский Москва,Москва,"Москва, 119021, Москва, Зубовский бульвар, 17",Тел.: +79160792837 
119,KFC,KFC Щелковская Москва,Москва,"Москва, 107241, Москва, Уральская, 1с2",Тел.: +74999638189 
120,KFC,KFC Сколково Москва,Москва,"Москва, 121205, Москва, Большой бульвар, дом 40","Тел.: +74952120000 доб.: 5077, 5078"
121,KFC,KFC Первомайская Москва,Москва,"Москва, 105077, Москва, 9-я Парковая, 30,стр. 1",Тел.: +79299187717 
122,KFC,KFC Ареал Алтуфьево Москва,Москва,"Москва, 127349, Москва, Алтуфьевское шоссе, 86к1",Тел.: +74951980933 
123,KFC,KFC Квартал Вест Москва,Москва,"Москва, 119530, Москва, Аминьевское шоссе, д. 6","Тел.: +74952408424 доб.: 6620, 9620"
124,KFC,KFC Метрополис Москва,Москва,"Москва, 125171, Москва, Ленинградское шоссе, 16Ас4","Тел.: +74952408424 доб.: 6494, 9494"
125,KFC,KFC Новогиреево Москва,Москва,"Москва, 111396, Москва, Зелёный проспект, 62А",Тел.: +74950211301 
126,KFC,KFC Румянцево Москва,Москва,"Москва, 142784, Москва, Киевское шоссе, 22-й километр, вл4блокБ","Тел.: +74952408424 доб.: 6134, 9134"
127,KFC,KFC Верхние котлы Москва,Москва,"Москва, 117105, Москва, Нагорный проезд, д. 2Б",Тел.: +74950217708 
128,KFC,KFC Речной вокзал Москва,Москва,"Москва, 125565, Москва, Фестивальная, 2Б",Тел.: +74952867221 
129,KFC,KFC Варшавка Москва,Москва,"Москва, 117556, Москва, Варшавское шоссе, 87Б",Тел.: +79269004479 
130,KFC,KFC Миклухо-Маклая 2 Москва,Москва,"Москва, 117198, Москва, Миклухо-Маклая, 11",Тел.: +79636304460 
131,KFC,KFC Дубининская Москва,Москва,"Москва, 115054, Москва, Дубининская улица, 35",Тел.: +74950210967 
132,KFC,KFC Европейский Москва 1 этаж,Москва,"Москва, 121059, Москва, площадь Киевского Вокзала, 2","Тел.: +74952408424 доб.: 6572, 9572"
133,KFC,KFC Вешняки Москва,Москва,"Москва, 111538, Москва, Вешняковская, 18",Тел.: +79253009254 
134,KFC,KFC метро Красногвардейская,Москва,"Москва, 115573, Москва, Ореховый бульвар, 45 к1",Тел.: +79636305015 
135,KFC,KFC Форт Ясенево Москва,Москва,"Москва, 117588, Москва, Новоясеневский проспект, 11",Тел.: +74999638185 
136,KFC,KFC Климентовский Москва,Москва,"Москва, 115035, Москва, Климентовский переулок, 10",Тел.: +79253447601 
137,KFC,KFC Дубнинская Москва,Москва,"Москва, 127591, Москва, Дубнинская, 30",Тел.: +74951980939 
138,KFC,KFC Проспект Вернадского 2 Москва,Москва,"Москва, 119454, Москва, проспект Вернадского, 14А",Тел.: +74950211282 
