,franchise,name,city,address,phone
0,Вкусно — и точка,Ex.McDonalds,Москва,"ул Большая Бронная, дом 29",+7 495 694-58-96
1,Вкусно — и точка,Ex.McDonalds,Москва,"ул Большая Ордынка, дом 21, строение 2",+7 495 755-59-78
2,Вкусно — и точка,Ex.McDonalds,Москва,"ш Дмитровское, дом 89Б, строение 1",+7 499 487-83-61
3,Вкусно — и точка,Ex.McDonalds,Москва,"ул Большая Серпуховская, дом 4/3",+7 499 236-70-77
4,Вкусно — и точка,Ex.McDonalds,Москва,"ул Большая Семёновская, дом 26",+7 499 369-29-67
5,Вкусно — и точка,Ex.McDonalds,Москва,"пр-кт Рязанский, дом 32, корпус 2",+7 495 919-11-21
6,Вкусно — и точка,Ex.McDonalds,Москва,"ул Венёвская, дом 4",+7 499 743-49-45
7,Вкусно — и точка,Ex.McDonalds,"Москва, нп Ж/к Дубровка","ул Сосновая, дом 2",+7 495 225-37-83
8,Вкусно — и точка,Ex.McDonalds,Москва,"ш Каширское, дом 61/15",+7 495 393-99-22
9,Вкусно — и точка,Ex.McDonalds,Москва,"пр-кт Волгоградский, дом 24, строение 2",+7 495 676-38-25
10,Вкусно — и точка,Ex.McDonalds,Москва,"ул Покрышкина, дом 2",+7 495 785-14-22
11,Вкусно — и точка,Ex.McDonalds,Москва,"пр-кт Свободный, дом 35Б",+7 495 603-38-90
12,Вкусно — и точка,Ex.McDonalds,"Москва, Зеленоград","пр-кт Панфиловский, дом 2",+7 499 734-33-09
13,Вкусно — и точка,Ex.McDonalds,Москва,"ш Щёлковское, дом 2/1, строение 1",+7 499 166-13-95
14,Вкусно — и точка,Ex.McDonalds,Москва,"ш Можайское, дом 43/1, строение 2",+7 495 448-95-16
15,Вкусно — и точка,Ex.McDonalds,Москва,"ш Хорошёвское, дом 35А, строение 1",+7 495 705-98-06
16,Вкусно — и точка,Ex.McDonalds,Москва,"ул Лескова, дом 1",+7 499 908-99-94
17,Вкусно — и точка,Ex.McDonalds,Москва,"ш Каширское, дом 12А",+7 499 553-81-44
18,Вкусно — и точка,Ex.McDonalds,Москва,"пр-кт Маршала Жукова, дом 31, корпус 2",+7 499 191-28-17
19,Вкусно — и точка,Ex.McDonalds,Москва,"ул Арбат, дом 52, строение 1",+7 499 241-36-81
20,Вкусно — и точка,Ex.McDonalds,Москва,"ул Зеленодольская, дом 38",+7 499 742-02-00
21,Вкусно — и точка,Ex.McDonalds,Москва,"ул Русаковская, дом 26",+7 499 268-16-35
22,Вкусно — и точка,Ex.McDonalds,Москва,"ул Бутырская, дом 77, строение 2",+7 499 977-42-11
23,Вкусно — и точка,Ex.McDonalds,Москва,"пр-кт Мира, дом 39А",+7 495 755-60-91
24,Вкусно — и точка,Ex.McDonalds,Москва,"б-р Ходынский, дом 4",+7 495 587-07-03
25,Вкусно — и точка,Ex.McDonalds,Москва,"ул Люблинская, дом 165, корпус 1а",+7 495 346-01-58
26,Вкусно — и точка,Ex.McDonalds,Москва,"ул Грина, дом 5А",+7 495 713-22-90
27,Вкусно — и точка,Ex.McDonalds,Москва,"ул Маршала Катукова, дом 19",+7 495 756-37-51
28,Вкусно — и точка,Ex.McDonalds,Москва,"ул Митинская, дом 40, корпус 3",+7 495 794-04-66
29,Вкусно — и точка,Ex.McDonalds,Москва,"ул Матвеевская, дом 9",+7 495 449-11-62
30,Вкусно — и точка,Ex.McDonalds,Москва,"ул Красная Пресня, дом 31",+7 495 755-68-03
31,Вкусно — и точка,Ex.McDonalds,Москва,"пр-кт Ленинский, дом 111/2",+7 495 935-67-70
32,Вкусно — и точка,Ex.McDonalds,Москва,"ул Милашенкова, дом 4Д",+7 495 639-87-89
33,Вкусно — и точка,Ex.McDonalds,Москва,"ш Ленинградское, дом 63, корпус 1",+7 495 451-91-93
34,Вкусно — и точка,Ex.McDonalds,"Москва, д Десна","ул Рябиновая, дом 15, строение 1",+7 495 981-27-96
35,Вкусно — и точка,Ex.McDonalds,Москва,"ш Боровское, дом 38",+7 495 731-23-29
36,Вкусно — и точка,Ex.McDonalds,Москва,"ул Большая Дорогомиловская, дом 8А",+7 495 258-67-80
37,Вкусно — и точка,Ex.McDonalds,Москва,"проезд Коломенский, дом 7Б",+7 499 612-61-85
38,Вкусно — и точка,Ex.McDonalds,Москва,"пл Манежная, дом 1, строение 2",+7 495 737-83-91
39,Вкусно — и точка,Ex.McDonalds,Москва,"ш Ярославское, владение 3, строение 1",+7 499 188-97-49
40,Вкусно — и точка,Ex.McDonalds,Москва,"пр-кт Мира, дом 119, строение 547",+7 495 544-34-19
41,Вкусно — и точка,Ex.McDonalds,Москва,"пр-кт Мира, дом 119, строение 547",+7 495 544-34-19
42,Вкусно — и точка,Ex.McDonalds,"Московская обл, Мытищи","ш Ярославское, дом 101",+7 495 583-56-64
43,Вкусно — и точка,Ex.McDonalds,Московская обл,"ш Можайское, дом 133",+7 495 596-92-72
44,Вкусно — и точка,Ex.McDonalds,"Московская обл, Красногорск","ул Ленина, дом 16",+7 495 563-89-31
45,Вкусно — и точка,Ex.McDonalds,Московская обл,"ул Первомайская, дом 2",+7 496 245-82-15
46,Вкусно — и точка,Ex.McDonalds,"Московская обл, Балашиха","ш Энтузиастов, дом 32А",+7 495 521-78-98
47,Вкусно — и точка,Ex.McDonalds,"Московская обл, Химки","ш Ленинградское, владение 30А",+7 499 530-81-94
48,Вкусно — и точка,Ex.McDonalds,Московская обл,"пр-кт Красной Армии, дом 164",+7 496 547-35-27
49,Вкусно — и точка,Ex.McDonalds,"Московская обл, Подольск","пр-кт Ленина, дом 128/24",+7 496 769-33-69
50,Вкусно — и точка,Ex.McDonalds,"Московская обл, Пушкино","ш Пушкинское, дом 10",+7 495 993-43-69
51,Вкусно — и точка,Ex.McDonalds,"Московская обл, Коломна","ул Октябрьской революции, дом 246",+7 496 618-59-51
52,Вкусно — и точка,Ex.McDonalds,"Московская обл, Мытищи","ул Коммунистическая, дом 10, корпус 1",+7 495 783-74-79
53,Вкусно — и точка,Ex.McDonalds,"Московская обл, Солнечногорск","ул Красная, дом 118",+7 496 262-57-90
54,Вкусно — и точка,Ex.McDonalds,"Московская обл, Раменское","ул Михалевича, дом 3А",+7 496 461-69-79
55,Вкусно — и точка,Ex.McDonalds,Московская обл,"ул Володарского, дом 1",+7 496 344-00-97
56,Вкусно — и точка,Ex.McDonalds,"Московская обл, Реутов","ш Носовихинское, дом 12",+7 495 791-05-78
57,Вкусно — и точка,Ex.McDonalds,"Московская обл, Красногорск","дом 9, строение 1",+7 499 272-76-36
